"callsite_rva","iat_mem_rva","dll","import_name"
"0x0000276D","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x0000279A","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x000027C7","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x000027F4","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x00002821","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x0000284E","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x0000287B","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x000028A8","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x000028D5","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x00002902","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x0000292F","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x0000295C","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x00002989","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x000029B6","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x000029E3","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x00002A10","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x00002A3D","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x00002A6A","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x00002A97","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x00002AC4","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x00002AF1","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x00002B1E","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x00002B4B","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x00002B78","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x00002BA5","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x00002BD2","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x00002BFF","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x00002C2C","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x00002C59","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x00002C86","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x00002CB3","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x00002CE0","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x00002D0D","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x00002D3A","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x00002D67","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x00002D94","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x00002DC1","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x00002DEE","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x00002E1B","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x00002E48","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x00002E75","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x00002EA2","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x00002ECF","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x00002EFC","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x00002F29","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x00002F56","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x00002F83","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x00002FB0","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x00002FDD","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x0000300A","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x00003037","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x00003064","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x00003091","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x000030BE","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x000030EB","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x00003118","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x00003145","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x00003172","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x0000319F","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x000031CC","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x000031F9","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x00003226","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x00003253","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x00003280","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x000032AD","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x000032DA","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x00003307","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x00003334","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x00003361","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x0000338E","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x000033BB","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x000033E8","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x00003415","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x00003442","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x0000346F","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x0000349C","0x004301E8","KERNEL32.dll","GetProcAddress"
